batch,mu_hat,m2_hat,var_hat,zscore
107,2.4861035390860273,9.958975979158808,3.7782651721027376,0.8304473532686273
108,2.4727538877238104,9.756120553848733,3.6416087645955146,-1.222864908883688
109,2.4400017149604114,9.658296432233065,3.7046880632233163,-0.2750754877869341
110,2.4423572925122907,9.614586156612827,3.6494770123248594,-1.1046416229140061
111,2.44564371047274,9.696549753764694,3.715376595189822,-0.11447640464425135
112,2.432611788570531,9.68116324643732,3.763563132545001,0.6095438577559635
113,2.4734000656842055,9.95473478466761,3.8370268997409775,1.7133636987643583
114,2.437668909443878,9.568614004140885,3.62638429207158,-1.4516181498654075
115,2.4430362966883914,9.688604871746787,3.7201785248098567,-0.04232566432650454
116,2.4524197900943387,9.77508684397594,3.7607240171295793,0.5668851152755322
117,2.510418748364685,10.07516104772152,3.7729587555806097,0.7507165136269
118,2.4631616535024916,9.890600394324304,3.8234350630391756,1.5091414052468972
119,2.41975387112198,9.486343231462257,3.6311344346524494,-1.3802455286602482
120,2.467329199892843,9.807941900196395,3.7202285195525384,-0.04157447512093322
121,2.5043507308741084,10.028148061332734,3.7563754781030534,0.5015467336475684
122,2.4646731965606268,9.7832388262291,3.708624860384722,-0.21592367754566508
123,2.438448098274287,9.567808224190566,3.6217790962130785,-1.5208128938101773
124,2.460551885423094,9.874092316195977,3.819776735336834,1.4541736999836652
125,2.459752709274917,9.83101580484272,3.7806324140574254,0.8660160252519374
126,2.4476106764595724,9.594055831419686,3.6032578079008006,-1.79910199196643
127,2.485952175912327,10.065769252601873,3.8858110316786396,2.446363037275167
128,2.4532185325799247,9.730465878228067,3.7121847096344673,-0.16243564687626988
129,2.49551795076792,10.04105710803429,3.813447265429371,1.3590711108626148
130,2.4493498809960834,9.639578366985411,3.640263527449883,-1.2430775866279233
131,2.4486520103094547,9.681887481320976,3.6859908137284423,-0.5560084667569609
132,2.4521106508498227,9.640613953694874,3.6277673096837333,-1.4308378068605856
133,2.47816611968282,9.892307305254697,3.750999988510892,0.4207780459877985
134,2.4358245228523105,9.586010508951313,3.652769402822627,-1.0551722573410636
135,2.4668048614942366,9.853190368663313,3.7680641439717126,0.6771731926926792
136,2.45183236446526,9.621528127270597,3.6100461838312885,-1.69710417281965
137,2.4631506406711194,9.689592692734038,3.6224816140954923,-1.510257306928784
138,2.453933522001073,9.698371439345792,3.6765817089452,-0.6973836907930989
139,2.4395282544242938,9.630924273754907,3.679626169620465,-0.651639561043223
140,2.463851368894437,9.808880804384087,3.7383172363810964,0.2302150790477277
141,2.476089920702573,9.89450534350397,3.763484048099097,0.6083555851715873
142,2.4913877407271636,9.944232900979323,3.7372200263337216,0.21372909873017706
143,2.4598709510424066,9.831345120801894,3.7803800250196193,0.8622237880958954
144,2.4689691774405373,9.791947312972486,3.696138513821082,-0.403535579367761
145,2.4652486334331067,9.698329941221257,3.6208791165774565,-1.5343354154044335
146,2.4813169018500414,9.851188150722603,3.6942545833159146,-0.43184232090930674
147,2.4693855754014398,9.82564694889448,3.7277818288937805,0.07191674693817354
148,2.4995188648943407,10.053500182386685,3.805905626423992,1.2457552398475469
149,2.519017121694566,10.180624607073431,3.8351773476830564,1.6855735059055434
150,2.495255763220083,9.988632677781995,3.762331353898956,0.5910359352639408
151,2.489515250629511,9.895935239310985,3.6982490561940686,-0.3718239120314428
152,2.4757795788990933,9.94534515276419,3.8158606294704187,1.395332783980715
153,2.465945823086935,9.836193194750606,3.7553043923507046,0.48545328037134183
154,2.4600965945825903,9.818524998648567,3.766449743971709,0.6529162450932681
155,2.476358845562568,9.825654081584373,3.6933009495883997,-0.44617101476293997
156,2.4769038407493227,9.917121398625865,3.7820687623071185,0.8875976804967521
157,2.479908814600935,9.838239648265843,3.6882919195304273,-0.5214335145398391
158,2.5044951073391024,10.066849148012702,3.7943534053272003,1.0721789131620745
159,2.4533534013075395,9.759430524488753,3.7404876127814797,0.26282577442370203
160,2.452185586590051,9.636871413782504,3.6236572627025128,-1.492592758702973
161,2.4529797352607163,9.753125381858126,3.736015800258392,0.1956351636415715
162,2.4651079494724812,9.762240274047098,3.6854830714946774,-0.5636374786241654
163,2.465845583775561,9.76533542446756,3.6849409814421223,-0.5717825789703981
164,2.4844615616819756,9.874651459667916,3.7021022081926747,-0.3139289008058895
165,2.4445388930733594,9.673825847600723,3.698055447852398,-0.37473294783341515
166,2.457256489650684,9.689739291915455,3.6516298359850525,-1.072294663848128
167,2.490838702599356,9.916173049277878,3.7118956069110345,-0.16677952052167455
168,2.4800078358652953,9.841963913196183,3.6915250472429184,-0.47285459388577833
169,2.452882384422033,9.799502396965492,3.7828704051575732,0.8996426561018541
170,2.4695570255827475,9.842301921841873,3.743590019236766,0.3094405606091469
171,2.459042119713533,9.826827951993701,3.7799398054684756,0.8556093291115643
172,2.4849100769516625,9.99347624919525,3.818698158659333,1.4379676928305265
173,2.446305563798305,9.688392307065497,3.703981395594954,-0.2856934261116047
174,2.4815453089168624,9.775999010828084,3.617931890620798,-1.5786185581163528
175,2.441657235364476,9.516929460272536,3.555239405264839,-2.5205959690137636
176,2.438526745966812,9.590939422769567,3.6445267319740795,-1.1790213869569828
177,2.502832053228975,10.02163464426609,3.757466357595723,0.5179375950765152
178,2.4764893604405973,9.856956774559203,3.7239572221837243,0.014450639062818819
179,2.47312161707501,9.728737194743005,3.612406661899292,-1.6616371306956528
180,2.4766796717789346,9.870475288515319,3.7365330919123076,0.2034076590222783
181,2.4668725104044045,9.76574966942882,3.680289686839891,-0.6416699733184453
182,2.452674477381579,9.650325579188603,3.634713487189601,-1.3264689616080767
183,2.4731170578614727,9.95210318724701,3.835795205361623,1.6948570424100315
184,2.472140668045539,9.856821237091038,3.745341754486395,0.3357610203206107
185,2.466280676572691,9.84648449006525,3.7639441144294006,0.6152682492365007
186,2.437806114052352,9.612149903508323,3.6692512537972934,-0.8075264474842442
187,2.459956619096051,9.90637526708785,3.8549886992533757,1.983246274063137
188,2.4366788433918583,9.59751144588502,3.660107660051536,-0.9449122715431011
189,2.478639165227536,9.767764857591011,3.6241127461911553,-1.485748953502048
190,2.463210823339508,9.828561531005203,3.761153970788307,0.5733453254897944
191,2.4828347870933873,9.859004806509708,3.6945362265086414,-0.427610529427834
192,2.4717124052503583,9.825556324002465,3.7161941097339533,-0.10219295106477627
193,2.4565434068856375,9.72979257910872,3.695187069195425,-0.4178313811692019
194,2.4467076183374075,9.642316956175033,3.6559387865447244,-1.007551113343812
195,2.4561180779736134,9.735140726656248,3.7026247137074506,-0.30607806526804643
196,2.449183062863714,9.713327786296313,3.7148301108778305,-0.12268753033791026
197,2.446237332731075,9.561410380256307,3.5773332922090617,-2.188627276080123
198,2.4590630241824116,9.830910782417503,3.783919825516355,0.9154105789540975
199,2.4810969120165125,9.936115306561403,3.780273419743529,0.8606220050211077
